gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000266472.5,MRPS21,8.74175307552154,0.334983962492293,2.29520703825044e-18,0.00240660886951736,0.0292825186340395,0.0387309918204437,,10,10,10
ENSG00000143374.16,TARS2,-8.64842114101581,-0.117978039594863,5.22168165509475e-18,0.0203612965778112,0.174858208080947,8.53615764290841e-08,,19,19,19
ENSG00000188338.14,SLC38A3,6.59281606549698,0.106203606131469,4.31561124470456e-11,0.0138302030650296,0.0458034260423081,0.00698943910458845,,79,83,83
ENSG00000110975.8,SYT10,6.4042515345084,0.111758891851145,1.51108814733197e-10,0.0138860203120302,0.0292242637817467,0.0385593584354384,,45,46,46
ENSG00000132911.4,NMUR2,-6.37277357441465,-0.0464482500935656,1.85639863169628e-10,0.0717135215311327,0.284267164810735,9.32847235613427e-13,,85,85,85
ENSG00000152219.4,ARL14EP,-6.24413293798057,-0.0861976597564964,4.26157436225667e-10,0.0188250375852209,0.157060250824731,3.65169235223165e-07,,85,85,85
ENSG00000139117.13,CPNE8,6.09707360012579,0.0998457944810542,1.08027789640209e-09,0.0134539124494242,0.0474372054042008,0.00793349624083519,,29,29,29
ENSG00000158748.3,HTR6,6.07181392782272,0.140793624882889,1.26473428802926e-09,0.00673812293006357,0.0892300688274847,0.000211916754059228,,32,33,33
ENSG00000164924.17,YWHAZ,5.9553384398423,0.223326882755154,2.5953417632773e-09,0.00270223248820408,0.172679947168353,1.15999006323956e-07,,9,9,9
ENSG00000148384.12,INPP5E,-5.75735794353797,-0.10659368736154,8.54406159562391e-09,0.0110792323215779,0.153500116322667,8.04636513139125e-07,,12,12,12
ENSG00000051596.9,THOC3,5.65652699164489,0.0483058123832111,1.54466696233824e-08,0.0650824551748761,0.270368705753598,2.13659674766632e-12,,30,31,31
ENSG00000095321.16,CRAT,-5.51755327374663,-0.131466694822197,3.43751896477702e-08,0.00714557130900806,0.0988884504379023,5.59762973933712e-05,,36,36,36
ENSG00000132436.11,FIGNL1,5.50536513049583,0.0492543451241129,3.6840390709636e-08,0.041868894647755,0.309529536161238,9.90234314406177e-15,,31,33,33
ENSG00000243244.5,STON1,-5.219293234672,-0.0735149593657559,1.79607202627125e-07,0.0156826755573572,0.11826490130936,2.02418382927962e-05,,6,6,6
ENSG00000008283.15,CYB561,-5.19431863423877,-0.0348315010549031,2.05470968454737e-07,0.0808691870843152,0.569052229024375,1.06282094218111e-31,,28,28,28
ENSG00000014914.20,MTMR11,-4.95570294806934,-0.114899946677566,7.2069251870236e-07,0.00670758410667019,0.0835586800532034,0.000341177589728826,,4,4,4
ENSG00000154319.14,FAM167A,-4.90320994848807,-0.224670681612969,9.42831199353635e-07,0.00182351608876623,0.0794466386364077,0.000402463298916252,,7,7,7
ENSG00000114841.17,DNAH1,4.83686941884302,0.13349440904638,1.31900016052236e-06,0.00442477724546903,0.14086197341252,1.27320108158135e-06,,10,10,10
ENSG00000108733.9,PEX12,4.8024785678486,0.175629139612849,1.56713597501322e-06,0.00208735752878395,0.0506060301548847,0.00635017524869444,,4,4,4
ENSG00000164088.17,PPM1M,-4.79113298536029,-0.0397198019344499,1.65842155901627e-06,0.0544324212303117,0.206970882309029,3.65479334890776e-09,,36,36,36
ENSG00000160917.14,CPSF4,4.70295833064606,0.0710681565022273,2.56418766458851e-06,0.0168665762518898,0.167279209238112,1.30250626465092e-07,,25,25,25
ENSG00000204308.7,RNF5,-4.69594977213085,-0.0826439118063546,2.65370749907919e-06,0.00904680972270339,0.105135290597174,5.79909562571302e-05,,23,23,23
ENSG00000274265.4,CH17-189H20.1,-4.68028576837339,-0.0510122015391904,2.86475323666013e-06,0.0255556008640615,0.0912528723992578,0.00019466481390903,,20,36,36
ENSG00000101104.12,PABPC1L,4.64934064150375,0.0699647839600255,3.32997852907753e-06,0.0167169153924297,0.167923426164798,1.42377779168253e-07,,20,20,20
ENSG00000267100.1,ILF3-AS1,4.58120049791673,0.0760751546703748,4.6231434343464e-06,0.0142590096170884,0.115031040460931,1.295514374756e-05,,17,17,17
ENSG00000143921.6,ABCG8,-4.57618100932466,-0.0889174529870832,4.73540860966969e-06,0.008442884353878,0.0408341353033695,0.0115371788519625,,16,16,16
ENSG00000205659.10,LIN52,4.52135193537998,0.0606410472146023,6.14459321040275e-06,0.0193600393301812,0.101210649093293,7.80816393878156e-05,,19,19,19
ENSG00000138031.14,ADCY3,4.50448509508951,0.167332588187153,6.65340672604502e-06,0.00294932230124358,0.0664020136221333,0.00155857673314393,,13,13,13
ENSG00000100197.20,CYP2D6,-4.50347018393429,-0.0389667449291066,6.68527509092809e-06,0.0492561115153329,0.235523918582558,1.41641549328586e-10,,18,18,18
ENSG00000119723.16,COQ6,4.47925960415423,0.103797524282232,7.49023929299413e-06,0.00678624616418938,0.0278073481767062,0.0406107834504401,,30,30,30
ENSG00000152348.15,ATG10,4.47901842552438,0.0199205218940864,7.49870614416602e-06,0.167390414983902,0.480470068454511,3.44947422853901e-25,,44,44,44
